--------------------------------------------------------------------
    Bytes Format Units   Label    Explanations
--------------------------------------------------------------------
    1-  5  F5.2  [cm/s2] logg     [0/5] Surface gravity
    7- 12  F6.0  K       Teff     [2000/50000] Effective temperature
   14- 17  F4.1  [Sun]   Z        [-5/1] Metallicity (log[M/H])
   19- 22  F4.1  km/s    xi       [0/8] Microturbulent velocity
   24- 30  F7.4  ---     a        Quadratic ld coefficient a (G2)
   32- 38  F7.4  ---     b        Quadratic ld b (G2)
   40- 41  A2    ---     Filt     Filter (G1)
   43      A1    ---     Met      [LF] Method 
   45- 51  A7    ---     Mod      Model (ATLAS or PHOENIX)
---------------------------------------------------------------------
 1.50   5500 -5.0  2.0  0.3914  0.2312 Kp L ATLAS 
 2.00   5500 -5.0  2.0  0.3662  0.2561 Kp L ATLAS 
 2.50   5500 -5.0  2.0  0.3393  0.2819 Kp L ATLAS 
 3.00   5500 -5.0  2.0  0.3153  0.3039 Kp L ATLAS 
 3.50   5500 -5.0  2.0  0.2945  0.3227 Kp L ATLAS 
 4.00   5500 -5.0  2.0  0.2719  0.3390 Kp L ATLAS 
 4.50   5500 -5.0  2.0  0.2451  0.3552 Kp L ATLAS 
 5.00   5500 -5.0  2.0  0.2087  0.3777 Kp L ATLAS 
 0.00   5750 -5.0  2.0  0.5715  0.0698 Kp L ATLAS 
 0.50   5750 -5.0  2.0  0.4005  0.2201 Kp L ATLAS 
 1.00   5750 -5.0  2.0  0.3869  0.2291 Kp L ATLAS 
 1.50   5750 -5.0  2.0  0.3751  0.2411 Kp L ATLAS 
 2.00   5750 -5.0  2.0  0.3578  0.2582 Kp L ATLAS 
 2.50   5750 -5.0  2.0  0.3378  0.2773 Kp L ATLAS 
 3.00   5750 -5.0  2.0  0.3192  0.2947 Kp L ATLAS 
 3.50   5750 -5.0  2.0  0.2998  0.3118 Kp L ATLAS 
 4.00   5750 -5.0  2.0  0.2827  0.3255 Kp L ATLAS 
 4.50   5750 -5.0  2.0  0.2598  0.3411 Kp L ATLAS 
 5.00   5750 -5.0  2.0  0.2307  0.3599 Kp L ATLAS 
 0.00   6000 -5.0  2.0  0.5475  0.0905 Kp L ATLAS 
 0.50   6000 -5.0  2.0  0.5466  0.0918 Kp L ATLAS 
 1.00   6000 -5.0  2.0  0.3952  0.2193 Kp L ATLAS 
 1.50   6000 -5.0  2.0  0.3555  0.2534 Kp L ATLAS 
 2.00   6000 -5.0  2.0  0.3450  0.2636 Kp L ATLAS 
 2.50   6000 -5.0  2.0  0.3326  0.2753 Kp L ATLAS 
 3.00   6000 -5.0  2.0  0.3186  0.2882 Kp L ATLAS 
 3.50   6000 -5.0  2.0  0.3020  0.3031 Kp L ATLAS 
 4.00   6000 -5.0  2.0  0.2910  0.3127 Kp L ATLAS 
 4.50   6000 -5.0  2.0  0.2736  0.3249 Kp L ATLAS 
 5.00   6000 -5.0  2.0  0.2484  0.3425 Kp L ATLAS 
 0.50   6250 -5.0  2.0  0.5212  0.1137 Kp L ATLAS 
 1.00   6250 -5.0  2.0  0.5209  0.1126 Kp L ATLAS 
 1.50   6250 -5.0  2.0  0.3611  0.2448 Kp L ATLAS 
 2.00   6250 -5.0  2.0  0.3303  0.2711 Kp L ATLAS 
 2.50   6250 -5.0  2.0  0.3233  0.2774 Kp L ATLAS 
 3.00   6250 -5.0  2.0  0.3139  0.2858 Kp L ATLAS 
 3.50   6250 -5.0  2.0  0.3028  0.2957 Kp L ATLAS 
 4.00   6250 -5.0  2.0  0.2910  0.3056 Kp L ATLAS 
 4.50   6250 -5.0  2.0  0.2745  0.3178 Kp L ATLAS 
 5.00   6250 -5.0  2.0  0.2608  0.3272 Kp L ATLAS 
 0.50   6500 -5.0  2.0  0.4995  0.1318 Kp L ATLAS 
 1.00   6500 -5.0  2.0  0.4939  0.1357 Kp L ATLAS 
 1.50   6500 -5.0  2.0  0.4937  0.1327 Kp L ATLAS 
 2.00   6500 -5.0  2.0  0.3300  0.2649 Kp L ATLAS 
 2.50   6500 -5.0  2.0  0.3051  0.2859 Kp L ATLAS 
 3.00   6500 -5.0  2.0  0.3039  0.2870 Kp L ATLAS 
 3.50   6500 -5.0  2.0  0.2978  0.2927 Kp L ATLAS 
 4.00   6500 -5.0  2.0  0.2900  0.2994 Kp L ATLAS 
 4.50   6500 -5.0  2.0  0.2801  0.3069 Kp L ATLAS 
 5.00   6500 -5.0  2.0  0.2639  0.3185 Kp L ATLAS 
 0.50   6750 -5.0  2.0  0.4701  0.1583 Kp L ATLAS 
 1.00   6750 -5.0  2.0  0.4703  0.1546 Kp L ATLAS 
