--------------------------------------------------------------------
    Bytes Format Units   Label    Explanations
--------------------------------------------------------------------
    1-  5  F5.2  [cm/s2] logg     [0/5] Surface gravity
    7- 12  F6.0  K       Teff     [2000/50000] Effective temperature
   14- 17  F4.1  [Sun]   Z        [-5/1] Metallicity (log[M/H])
   19- 22  F4.1  km/s    xi       [0/8] Microturbulent velocity
   24- 30  F7.4  ---     a        Quadratic ld coefficient a (G2)
   32- 38  F7.4  ---     b        Quadratic ld b (G2)
   40- 41  A2    ---     Filt     Filter (G1)
   43      A1    ---     Met      [LF] Method 
   45- 51  A7    ---     Mod      Model (ATLAS or PHOENIX)
---------------------------------------------------------------------
 4.50   9500 -3.5  2.0  0.2229  0.2787 Kp L ATLAS 
 5.00   9500 -3.5  2.0  0.2329  0.2711 Kp L ATLAS 
 2.00   9750 -3.5  2.0  0.2250  0.2871 Kp L ATLAS 
 2.50   9750 -3.5  2.0  0.2116  0.2872 Kp L ATLAS 
 3.00   9750 -3.5  2.0  0.2055  0.2861 Kp L ATLAS 
 3.50   9750 -3.5  2.0  0.2041  0.2850 Kp L ATLAS 
 4.00   9750 -3.5  2.0  0.2058  0.2837 Kp L ATLAS 
 4.50   9750 -3.5  2.0  0.2097  0.2818 Kp L ATLAS 
 5.00   9750 -3.5  2.0  0.2167  0.2776 Kp L ATLAS 
 2.00  10000 -3.5  2.0  0.2207  0.2878 Kp L ATLAS 
 2.50  10000 -3.5  2.0  0.2061  0.2873 Kp L ATLAS 
 3.00  10000 -3.5  2.0  0.1996  0.2854 Kp L ATLAS 
 3.50  10000 -3.5  2.0  0.1970  0.2846 Kp L ATLAS 
 4.00  10000 -3.5  2.0  0.1972  0.2840 Kp L ATLAS 
 4.50  10000 -3.5  2.0  0.1995  0.2832 Kp L ATLAS 
 5.00  10000 -3.5  2.0  0.2041  0.2809 Kp L ATLAS 
 2.00  10500 -3.5  2.0  0.2132  0.2894 Kp L ATLAS 
 2.50  10500 -3.5  2.0  0.1973  0.2871 Kp L ATLAS 
 3.00  10500 -3.5  2.0  0.1901  0.2838 Kp L ATLAS 
 3.50  10500 -3.5  2.0  0.1859  0.2828 Kp L ATLAS 
 4.00  10500 -3.5  2.0  0.1845  0.2827 Kp L ATLAS 
 4.50  10500 -3.5  2.0  0.1845  0.2831 Kp L ATLAS 
 5.00  10500 -3.5  2.0  0.1855  0.2834 Kp L ATLAS 
 2.50  11000 -3.5  2.0  0.1898  0.2871 Kp L ATLAS 
 3.00  11000 -3.5  2.0  0.1817  0.2828 Kp L ATLAS 
 3.50  11000 -3.5  2.0  0.1774  0.2807 Kp L ATLAS 
 4.00  11000 -3.5  2.0  0.1751  0.2803 Kp L ATLAS 
 4.50  11000 -3.5  2.0  0.1737  0.2813 Kp L ATLAS 
 5.00  11000 -3.5  2.0  0.1731  0.2828 Kp L ATLAS 
 2.50  11500 -3.5  2.0  0.1828  0.2878 Kp L ATLAS 
 3.00  11500 -3.5  2.0  0.1748  0.2815 Kp L ATLAS 
 3.50  11500 -3.5  2.0  0.1701  0.2785 Kp L ATLAS 
 4.00  11500 -3.5  2.0  0.1675  0.2776 Kp L ATLAS 
 4.50  11500 -3.5  2.0  0.1657  0.2784 Kp L ATLAS 
 5.00  11500 -3.5  2.0  0.1642  0.2803 Kp L ATLAS 
 2.50  12000 -3.5  2.0  0.1773  0.2879 Kp L ATLAS 
 3.00  12000 -3.5  2.0  0.1683  0.2806 Kp L ATLAS 
 3.50  12000 -3.5  2.0  0.1638  0.2763 Kp L ATLAS 
 4.00  12000 -3.5  2.0  0.1612  0.2746 Kp L ATLAS 
 4.50  12000 -3.5  2.0  0.1592  0.2751 Kp L ATLAS 
 5.00  12000 -3.5  2.0  0.1572  0.2771 Kp L ATLAS 
 2.50  12500 -3.5  2.0  0.1722  0.2887 Kp L ATLAS 
 3.00  12500 -3.5  2.0  0.1629  0.2797 Kp L ATLAS 
 3.50  12500 -3.5  2.0  0.1583  0.2741 Kp L ATLAS 
 4.00  12500 -3.5  2.0  0.1555  0.2719 Kp L ATLAS 
 4.50  12500 -3.5  2.0  0.1537  0.2717 Kp L ATLAS 
 5.00  12500 -3.5  2.0  0.1517  0.2734 Kp L ATLAS 
 2.50  13000 -3.5  2.0  0.1677  0.2897 Kp L ATLAS 
 3.00  13000 -3.5  2.0  0.1580  0.2790 Kp L ATLAS 
 3.50  13000 -3.5  2.0  0.1534  0.2721 Kp L ATLAS 
 4.00  13000 -3.5  2.0  0.1506  0.2690 Kp L ATLAS 
 4.50  13000 -3.5  2.0  0.1485  0.2686 Kp L ATLAS 
 5.00  13000 -3.5  2.0  0.1466  0.2698 Kp L ATLAS 
 2.00  14000 -3.5  2.0  0.1909  0.3025 Kp L ATLAS 
 2.50  14000 -3.5  2.0  0.1604  0.2922 Kp L ATLAS 
 3.00  14000 -3.5  2.0  0.1495  0.2784 Kp L ATLAS 
 3.50  14000 -3.5  2.0  0.1450  0.2686 Kp L ATLAS 
 4.00  14000 -3.5  2.0  0.1421  0.2638 Kp L ATLAS 
 4.50  14000 -3.5  2.0  0.1402  0.2620 Kp L ATLAS 
 5.00  14000 -3.5  2.0  0.1383  0.2627 Kp L ATLAS 
 2.50  15000 -3.5  2.0  0.1541  0.2961 Kp L ATLAS 
 3.00  15000 -3.5  2.0  0.1422  0.2789 Kp L ATLAS 
 3.50  15000 -3.5  2.0  0.1378  0.2661 Kp L ATLAS 
 4.00  15000 -3.5  2.0  0.1349  0.2594 Kp L ATLAS 
 4.50  15000 -3.5  2.0  0.1330  0.2564 Kp L ATLAS 
 5.00  15000 -3.5  2.0  0.1312  0.2562 Kp L ATLAS 
 2.50  16000 -3.5  2.0  0.1489  0.3008 Kp L ATLAS 
 3.00  16000 -3.5  2.0  0.1353  0.2807 Kp L ATLAS 
 3.50  16000 -3.5  2.0  0.1310  0.2649 Kp L ATLAS 
 4.00  16000 -3.5  2.0  0.1287  0.2558 Kp L ATLAS 
 4.50  16000 -3.5  2.0  0.1270  0.2514 Kp L ATLAS 
 5.00  16000 -3.5  2.0  0.1254  0.2502 Kp L ATLAS 
 2.50  17000 -3.5  2.0  0.1452  0.3055 Kp L ATLAS 
 3.00  17000 -3.5  2.0  0.1285  0.2837 Kp L ATLAS 
 3.50  17000 -3.5  2.0  0.1244  0.2649 Kp L ATLAS 
 4.00  17000 -3.5  2.0  0.1228  0.2533 Kp L ATLAS 
 4.50  17000 -3.5  2.0  0.1216  0.2473 Kp L ATLAS 
 5.00  17000 -3.5  2.0  0.1202  0.2452 Kp L ATLAS 
 2.50  18000 -3.5  2.0  0.1438  0.3100 Kp L ATLAS 
 3.00  18000 -3.5  2.0  0.1225  0.2869 Kp L ATLAS 
 3.50  18000 -3.5  2.0  0.1178  0.2658 Kp L ATLAS 
 4.00  18000 -3.5  2.0  0.1168  0.2519 Kp L ATLAS 
 4.50  18000 -3.5  2.0  0.1162  0.2443 Kp L ATLAS 
 5.00  18000 -3.5  2.0  0.1152  0.2410 Kp L ATLAS 
 2.50  19000 -3.5  2.0  0.1450  0.3144 Kp L ATLAS 
 3.00  19000 -3.5  2.0  0.1176  0.2901 Kp L ATLAS 
 3.50  19000 -3.5  2.0  0.1118  0.2668 Kp L ATLAS 
 4.00  19000 -3.5  2.0  0.1111  0.2509 Kp L ATLAS 
 4.50  19000 -3.5  2.0  0.1106  0.2423 Kp L ATLAS 
 5.00  19000 -3.5  2.0  0.1101  0.2380 Kp L ATLAS 
 3.00  20000 -3.5  2.0  0.1136  0.2941 Kp L ATLAS 
 3.50  20000 -3.5  2.0  0.1064  0.2680 Kp L ATLAS 
 4.00  20000 -3.5  2.0  0.1054  0.2504 Kp L ATLAS 
 4.50  20000 -3.5  2.0  0.1051  0.2407 Kp L ATLAS 
 5.00  20000 -3.5  2.0  0.1051  0.2355 Kp L ATLAS 
 3.00  21000 -3.5  2.0  0.1107  0.2989 Kp L ATLAS 
 3.50  21000 -3.5  2.0  0.1013  0.2702 Kp L ATLAS 
 4.00  21000 -3.5  2.0  0.1003  0.2500 Kp L ATLAS 
 4.50  21000 -3.5  2.0  0.1002  0.2390 Kp L ATLAS 
 5.00  21000 -3.5  2.0  0.1000  0.2337 Kp L ATLAS 
 3.00  22000 -3.5  2.0  0.1091  0.3042 Kp L ATLAS 
 3.50  22000 -3.5  2.0  0.0968  0.2736 Kp L ATLAS 
 4.00  22000 -3.5  2.0  0.0953  0.2509 Kp L ATLAS 
 4.50  22000 -3.5  2.0  0.0954  0.2379 Kp L ATLAS 
 5.00  22000 -3.5  2.0  0.0952  0.2320 Kp L ATLAS 
 3.00  23000 -3.5  2.0  0.1086  0.3100 Kp L ATLAS 
 3.50  23000 -3.5  2.0  0.0928  0.2780 Kp L ATLAS 
 4.00  23000 -3.5  2.0  0.0906  0.2530 Kp L ATLAS 
 4.50  23000 -3.5  2.0  0.0909  0.2380 Kp L ATLAS 
 5.00  23000 -3.5  2.0  0.0907  0.2308 Kp L ATLAS 
 3.00  24000 -3.5  2.0  0.1093  0.3163 Kp L ATLAS 
 3.50  24000 -3.5  2.0  0.0892  0.2832 Kp L ATLAS 
 4.00  24000 -3.5  2.0  0.0860  0.2564 Kp L ATLAS 
 4.50  24000 -3.5  2.0  0.0861  0.2395 Kp L ATLAS 
 5.00  24000 -3.5  2.0  0.0863  0.2307 Kp L ATLAS 
 3.00  25000 -3.5  2.0  0.1105  0.3235 Kp L ATLAS 
 3.50  25000 -3.5  2.0  0.0859  0.2891 Kp L ATLAS 
 4.00  25000 -3.5  2.0  0.0817  0.2604 Kp L ATLAS 
 4.50  25000 -3.5  2.0  0.0815  0.2421 Kp L ATLAS 
 5.00  25000 -3.5  2.0  0.0821  0.2317 Kp L ATLAS 
 3.00  26000 -3.5  2.0  0.1070  0.3338 Kp L ATLAS 
 3.50  26000 -3.5  2.0  0.0829  0.2953 Kp L ATLAS 
 4.00  26000 -3.5  2.0  0.0777  0.2648 Kp L ATLAS 
 4.50  26000 -3.5  2.0  0.0774  0.2448 Kp L ATLAS 
 5.00  26000 -3.5  2.0  0.0777  0.2336 Kp L ATLAS 
 3.50  27000 -3.5  2.0  0.0794  0.3018 Kp L ATLAS 
 4.00  27000 -3.5  2.0  0.0733  0.2697 Kp L ATLAS 
 4.50  27000 -3.5  2.0  0.0733  0.2480 Kp L ATLAS 
 5.00  27000 -3.5  2.0  0.0737  0.2355 Kp L ATLAS 
 3.50  28000 -3.5  2.0  0.0740  0.3078 Kp L ATLAS 
 4.00  28000 -3.5  2.0  0.0693  0.2737 Kp L ATLAS 
 4.50  28000 -3.5  2.0  0.0694  0.2505 Kp L ATLAS 
 5.00  28000 -3.5  2.0  0.0696  0.2373 Kp L ATLAS 
 3.50  29000 -3.5  2.0  0.0664  0.3125 Kp L ATLAS 
 4.00  29000 -3.5  2.0  0.0655  0.2757 Kp L ATLAS 
 4.50  29000 -3.5  2.0  0.0656  0.2520 Kp L ATLAS 
 5.00  29000 -3.5  2.0  0.0664  0.2376 Kp L ATLAS 
 3.50  30000 -3.5  2.0  0.0578  0.3170 Kp L ATLAS 
 4.00  30000 -3.5  2.0  0.0599  0.2769 Kp L ATLAS 
 4.50  30000 -3.5  2.0  0.0621  0.2514 Kp L ATLAS 
 5.00  30000 -3.5  2.0  0.0634  0.2360 Kp L ATLAS 
 3.50  31000 -3.5  2.0  0.0483  0.3235 Kp L ATLAS 
 4.00  31000 -3.5  2.0  0.0541  0.2764 Kp L ATLAS 
 4.50  31000 -3.5  2.0  0.0582  0.2488 Kp L ATLAS 
 5.00  31000 -3.5  2.0  0.0608  0.2323 Kp L ATLAS 
 4.00  32000 -3.5  2.0  0.0476  0.2761 Kp L ATLAS 
 4.50  32000 -3.5  2.0  0.0545  0.2447 Kp L ATLAS 
 5.00  32000 -3.5  2.0  0.0580  0.2269 Kp L ATLAS 
 4.00  33000 -3.5  2.0  0.0400  0.2775 Kp L ATLAS 
 4.50  33000 -3.5  2.0  0.0500  0.2406 Kp L ATLAS 
 5.00  33000 -3.5  2.0  0.0558  0.2198 Kp L ATLAS 
 4.00  34000 -3.5  2.0  0.0303  0.2806 Kp L ATLAS 
 4.50  34000 -3.5  2.0  0.0446  0.2377 Kp L ATLAS 
 5.00  34000 -3.5  2.0  0.0524  0.2135 Kp L ATLAS 
 4.00  35000 -3.5  2.0  0.0206  0.2825 Kp L ATLAS 
 4.50  35000 -3.5  2.0  0.0378  0.2360 Kp L ATLAS 
 5.00  35000 -3.5  2.0  0.0483  0.2081 Kp L ATLAS 
 4.50  37500 -3.5  2.0  0.0192  0.2295 Kp L ATLAS 
 5.00  37500 -3.5  2.0  0.0345  0.1953 Kp L ATLAS 
 4.50  40000 -3.5  2.0  0.0091  0.2229 Kp L ATLAS 
 5.00  40000 -3.5  2.0  0.0227  0.1826 Kp L ATLAS 
 5.00  42500 -3.5  2.0  0.0164  0.1767 Kp L ATLAS 
 5.00  45000 -3.5  2.0  0.0134  0.1759 Kp L ATLAS 
 5.00  47500 -3.5  2.0  0.0118  0.1772 Kp L ATLAS 
 5.00  50000 -3.5  2.0  0.0105  0.1792 Kp L ATLAS 
 0.00   3500 -3.0  2.0  0.7013 -0.0382 Kp L ATLAS 
 0.50   3500 -3.0  2.0  0.7160 -0.0470 Kp L ATLAS 
 1.00   3500 -3.0  2.0  0.6253  0.0378 Kp L ATLAS 
 1.50   3500 -3.0  2.0  0.4478  0.2009 Kp L ATLAS 
 2.00   3500 -3.0  2.0  0.3051  0.3251 Kp L ATLAS 
 2.50   3500 -3.0  2.0  0.2248  0.3939 Kp L ATLAS 
 3.00   3500 -3.0  2.0  0.1915  0.4319 Kp L ATLAS 
 3.50   3500 -3.0  2.0  0.1886  0.4400 Kp L ATLAS 
 4.00   3500 -3.0  2.0  0.2057  0.4391 Kp L ATLAS 
 0.00   3750 -3.0  2.0  0.6566  0.0017 Kp L ATLAS 
 0.50   3750 -3.0  2.0  0.6673  0.0004 Kp L ATLAS 
 1.00   3750 -3.0  2.0  0.6705  0.0081 Kp L ATLAS 
 1.50   3750 -3.0  2.0  0.6036  0.0749 Kp L ATLAS 
 2.00   3750 -3.0  2.0  0.4503  0.2089 Kp L ATLAS 
 2.50   3750 -3.0  2.0  0.2947  0.3363 Kp L ATLAS 
 3.00   3750 -3.0  2.0  0.2028  0.4061 Kp L ATLAS 
 3.50   3750 -3.0  2.0  0.1487  0.4591 Kp L ATLAS 
 4.00   3750 -3.0  2.0  0.1336  0.4789 Kp L ATLAS 
 4.50   3750 -3.0  2.0  0.5008  0.1247 Kp L ATLAS 
 5.00   3750 -3.0  2.0  0.1789  0.4919 Kp L ATLAS 
 0.00   4000 -3.0  2.0  0.6182  0.0325 Kp L ATLAS 
 0.50   4000 -3.0  2.0  0.5992  0.0578 Kp L ATLAS 
 1.00   4000 -3.0  2.0  0.5729  0.0936 Kp L ATLAS 
 1.50   4000 -3.0  2.0  0.5460  0.1318 Kp L ATLAS 
 2.00   4000 -3.0  2.0  0.4891  0.1884 Kp L ATLAS 
 2.50   4000 -3.0  2.0  0.3739  0.2914 Kp L ATLAS 
 3.00   4000 -3.0  2.0  0.2462  0.3821 Kp L ATLAS 
 3.50   4000 -3.0  2.0  0.1639  0.4398 Kp L ATLAS 
 4.00   4000 -3.0  2.0  0.1261  0.4622 Kp L ATLAS 
 4.50   4000 -3.0  2.0  0.1146  0.4684 Kp L ATLAS 
 5.00   4000 -3.0  2.0  0.1161  0.4731 Kp L ATLAS 
 0.00   4250 -3.0  2.0  0.5977  0.0463 Kp L ATLAS 
 0.50   4250 -3.0  2.0  0.5611  0.0843 Kp L ATLAS 
 1.00   4250 -3.0  2.0  0.5138  0.1349 Kp L ATLAS 
 1.50   4250 -3.0  2.0  0.4660  0.1890 Kp L ATLAS 
 2.00   4250 -3.0  2.0  0.4236  0.2385 Kp L ATLAS 
 2.50   4250 -3.0  2.0  0.3803  0.2869 Kp L ATLAS 
 3.00   4250 -3.0  2.0  0.2977  0.3411 Kp L ATLAS 
 3.50   4250 -3.0  2.0  0.1900  0.4215 Kp L ATLAS 
 4.00   4250 -3.0  2.0  0.1167  0.4703 Kp L ATLAS 
 4.50   4250 -3.0  2.0  0.0903  0.4745 Kp L ATLAS 
 5.00   4250 -3.0  2.0  0.0837  0.4782 Kp L ATLAS 
 0.00   4500 -3.0  2.0  0.5784  0.0633 Kp L ATLAS 
 0.50   4500 -3.0  2.0  0.5402  0.1003 Kp L ATLAS 
 1.00   4500 -3.0  2.0  0.4914  0.1483 Kp L ATLAS 
 1.50   4500 -3.0  2.0  0.4373  0.2025 Kp L ATLAS 
 2.00   4500 -3.0  2.0  0.3898  0.2510 Kp L ATLAS 
 2.50   4500 -3.0  2.0  0.3488  0.2935 Kp L ATLAS 
 3.00   4500 -3.0  2.0  0.3081  0.3320 Kp L ATLAS 
 3.50   4500 -3.0  2.0  0.2570  0.3562 Kp L ATLAS 
 4.00   4500 -3.0  2.0  0.1731  0.4129 Kp L ATLAS 
 4.50   4500 -3.0  2.0  0.1077  0.4496 Kp L ATLAS 
 5.00   4500 -3.0  2.0  0.0721  0.4654 Kp L ATLAS 
 0.00   4750 -3.0  2.0  0.5497  0.0901 Kp L ATLAS 
 0.50   4750 -3.0  2.0  0.5146  0.1234 Kp L ATLAS 
 1.00   4750 -3.0  2.0  0.4736  0.1628 Kp L ATLAS 
 1.50   4750 -3.0  2.0  0.4265  0.2085 Kp L ATLAS 
 2.00   4750 -3.0  2.0  0.3769  0.2560 Kp L ATLAS 
 2.50   4750 -3.0  2.0  0.3392  0.2923 Kp L ATLAS 
 3.00   4750 -3.0  2.0  0.3058  0.3222 Kp L ATLAS 
 3.50   4750 -3.0  2.0  0.2664  0.3538 Kp L ATLAS 
 4.00   4750 -3.0  2.0  0.2244  0.3823 Kp L ATLAS 
 4.50   4750 -3.0  2.0  0.1663  0.4035 Kp L ATLAS 
 5.00   4750 -3.0  2.0  0.1115  0.4231 Kp L ATLAS 
 0.00   5000 -3.0  2.0  0.5156  0.1207 Kp L ATLAS 
 0.50   5000 -3.0  2.0  0.4901  0.1451 Kp L ATLAS 
 1.50   5000 -3.0  2.0  0.4170  0.2149 Kp L ATLAS 
 2.00   5000 -3.0  2.0  0.3781  0.2524 Kp L ATLAS 
 2.50   5000 -3.0  2.0  0.3407  0.2875 Kp L ATLAS 
 3.00   5000 -3.0  2.0  0.3103  0.3148 Kp L ATLAS 
 3.50   5000 -3.0  2.0  0.2816  0.3370 Kp L ATLAS 
 4.00   5000 -3.0  2.0  0.2453  0.3629 Kp L ATLAS 
 4.50   5000 -3.0  2.0  0.1961  0.3935 Kp L ATLAS 
 5.00   5000 -3.0  2.0  0.1402  0.4261 Kp L ATLAS 
 0.00   5250 -3.0  2.0  0.4791  0.1512 Kp L ATLAS 
 0.50   5250 -3.0  2.0  0.4638  0.1666 Kp L ATLAS 
 1.00   5250 -3.0  2.0  0.4388  0.1905 Kp L ATLAS 
 1.50   5250 -3.0  2.0  0.4070  0.2205 Kp L ATLAS 
 2.00   5250 -3.0  2.0  0.3744  0.2518 Kp L ATLAS 
 2.50   5250 -3.0  2.0  0.3440  0.2810 Kp L ATLAS 
 3.00   5250 -3.0  2.0  0.3171  0.3059 Kp L ATLAS 
 3.50   5250 -3.0  2.0  0.2934  0.3249 Kp L ATLAS 
 4.00   5250 -3.0  2.0  0.2666  0.3431 Kp L ATLAS 
 4.50   5250 -3.0  2.0  0.2336  0.3638 Kp L ATLAS 
 5.00   5250 -3.0  2.0  0.2043  0.3817 Kp L ATLAS 
 0.00   5500 -3.0  2.0  0.4373  0.1859 Kp L ATLAS 
 0.50   5500 -3.0  2.0  0.4298  0.1939 Kp L ATLAS 
 1.00   5500 -3.0  2.0  0.4149  0.2085 Kp L ATLAS 
 1.50   5500 -3.0  2.0  0.3935  0.2289 Kp L ATLAS 
 2.00   5500 -3.0  2.0  0.3688  0.2524 Kp L ATLAS 
 2.50   5500 -3.0  2.0  0.3432  0.2769 Kp L ATLAS 
 3.00   5500 -3.0  2.0  0.3204  0.2976 Kp L ATLAS 
 3.50   5500 -3.0  2.0  0.3015  0.3146 Kp L ATLAS 
 4.00   5500 -3.0  2.0  0.2798  0.3301 Kp L ATLAS 
 4.50   5500 -3.0  2.0  0.2514  0.3494 Kp L ATLAS 
 5.00   5500 -3.0  2.0  0.2175  0.3706 Kp L ATLAS 
 0.00   5750 -3.0  2.0  0.5176  0.1107 Kp L ATLAS 
 0.50   5750 -3.0  2.0  0.3928  0.2229 Kp L ATLAS 
 1.00   5750 -3.0  2.0  0.3876  0.2285 Kp L ATLAS 
 1.50   5750 -3.0  2.0  0.3766  0.2394 Kp L ATLAS 
 2.00   5750 -3.0  2.0  0.3589  0.2556 Kp L ATLAS 
 2.50   5750 -3.0  2.0  0.3389  0.2744 Kp L ATLAS 
 3.00   5750 -3.0  2.0  0.3224  0.2904 Kp L ATLAS 
 3.50   5750 -3.0  2.0  0.3061  0.3046 Kp L ATLAS 
 4.00   5750 -3.0  2.0  0.2887  0.3180 Kp L ATLAS 
 4.50   5750 -3.0  2.0  0.2661  0.3336 Kp L ATLAS 
 5.00   5750 -3.0  2.0  0.2372  0.3532 Kp L ATLAS 
 0.00   6000 -3.0  2.0  0.5243  0.1084 Kp L ATLAS 
 0.50   6000 -3.0  2.0  0.4870  0.1356 Kp L ATLAS 
 1.00   6000 -3.0  2.0  0.3710  0.2342 Kp L ATLAS 
 1.50   6000 -3.0  2.0  0.3545  0.2533 Kp L ATLAS 
 2.00   6000 -3.0  2.0  0.3453  0.2616 Kp L ATLAS 
 2.50   6000 -3.0  2.0  0.3332  0.2732 Kp L ATLAS 
 3.00   6000 -3.0  2.0  0.3208  0.2849 Kp L ATLAS 
 3.50   6000 -3.0  2.0  0.3077  0.2964 Kp L ATLAS 
 4.00   6000 -3.0  2.0  0.2939  0.3078 Kp L ATLAS 
 4.50   6000 -3.0  2.0  0.2764  0.3207 Kp L ATLAS 
 5.00   6000 -3.0  2.0  0.2520  0.3372 Kp L ATLAS 
 0.50   6250 -3.0  2.0  0.4970  0.1313 Kp L ATLAS 
 1.00   6250 -3.0  2.0  0.4598  0.1571 Kp L ATLAS 
 1.50   6250 -3.0  2.0  0.3448  0.2514 Kp L ATLAS 
 2.00   6250 -3.0  2.0  0.3292  0.2709 Kp L ATLAS 
 2.50   6250 -3.0  2.0  0.3249  0.2745 Kp L ATLAS 
 3.00   6250 -3.0  2.0  0.3163  0.2822 Kp L ATLAS 
 3.50   6250 -3.0  2.0  0.3059  0.2909 Kp L ATLAS 
 4.00   6250 -3.0  2.0  0.2953  0.2998 Kp L ATLAS 
 4.50   6250 -3.0  2.0  0.2827  0.3091 Kp L ATLAS 
 5.00   6250 -3.0  2.0  0.2623  0.3235 Kp L ATLAS 
 0.50   6500 -3.0  2.0  0.4927  0.1385 Kp L ATLAS 
 1.00   6500 -3.0  2.0  0.4664  0.1558 Kp L ATLAS 
 1.50   6500 -3.0  2.0  0.4232  0.1829 Kp L ATLAS 
 2.00   6500 -3.0  2.0  0.3273  0.2621 Kp L ATLAS 
 2.50   6500 -3.0  2.0  0.3041  0.2859 Kp L ATLAS 
 3.00   6500 -3.0  2.0  0.3038  0.2861 Kp L ATLAS 
 3.50   6500 -3.0  2.0  0.2997  0.2892 Kp L ATLAS 
 4.00   6500 -3.0  2.0  0.2926  0.2950 Kp L ATLAS 
 4.50   6500 -3.0  2.0  0.2854  0.3004 Kp L ATLAS 
 5.00   6500 -3.0  2.0  0.2700  0.3112 Kp L ATLAS 
 0.50   6750 -3.0  2.0  0.4698  0.1592 Kp L ATLAS 
 1.00   6750 -3.0  2.0  0.4625  0.1622 Kp L ATLAS 
 1.50   6750 -3.0  2.0  0.4348  0.1790 Kp L ATLAS 
 2.00   6750 -3.0  2.0  0.3941  0.2007 Kp L ATLAS 
 2.50   6750 -3.0  2.0  0.3006  0.2800 Kp L ATLAS 
 3.00   6750 -3.0  2.0  0.2882  0.2935 Kp L ATLAS 
 3.50   6750 -3.0  2.0  0.2883  0.2925 Kp L ATLAS 
 4.00   6750 -3.0  2.0  0.2859  0.2941 Kp L ATLAS 
 4.50   6750 -3.0  2.0  0.2824  0.2965 Kp L ATLAS 
 5.00   6750 -3.0  2.0  0.2715  0.3042 Kp L ATLAS 
 0.50   7000 -3.0  2.0  0.4328  0.1923 Kp L ATLAS 
 1.00   7000 -3.0  2.0  0.4374  0.1834 Kp L ATLAS 
 1.50   7000 -3.0  2.0  0.4316  0.1838 Kp L ATLAS 
 2.00   7000 -3.0  2.0  0.4039  0.1990 Kp L ATLAS 
 2.50   7000 -3.0  2.0  0.3550  0.2270 Kp L ATLAS 
 3.00   7000 -3.0  2.0  0.2758  0.2950 Kp L ATLAS 
 3.50   7000 -3.0  2.0  0.2743  0.2987 Kp L ATLAS 
 4.00   7000 -3.0  2.0  0.2751  0.2973 Kp L ATLAS 
 4.50   7000 -3.0  2.0  0.2752  0.2968 Kp L ATLAS 
 5.00   7000 -3.0  2.0  0.2684  0.3010 Kp L ATLAS 
 0.50   7250 -3.0  2.0  0.3972  0.2206 Kp L ATLAS 
 1.00   7250 -3.0  2.0  0.3984  0.2159 Kp L ATLAS 
 1.50   7250 -3.0  2.0  0.4058  0.2037 Kp L ATLAS 
 2.00   7250 -3.0  2.0  0.4025  0.2014 Kp L ATLAS 
 2.50   7250 -3.0  2.0  0.3719  0.2190 Kp L ATLAS 
 3.00   7250 -3.0  2.0  0.3141  0.2556 Kp L ATLAS 
 3.50   7250 -3.0  2.0  0.2570  0.3051 Kp L ATLAS 
 4.00   7250 -3.0  2.0  0.2605  0.3040 Kp L ATLAS 
 4.50   7250 -3.0  2.0  0.2646  0.3001 Kp L ATLAS 
 5.00   7250 -3.0  2.0  0.2622  0.3008 Kp L ATLAS 
 1.00   7500 -3.0  2.0  0.3631  0.2417 Kp L ATLAS 
 1.50   7500 -3.0  2.0  0.3676  0.2331 Kp L ATLAS 
 2.00   7500 -3.0  2.0  0.3770  0.2192 Kp L ATLAS 
 2.50   7500 -3.0  2.0  0.3738  0.2179 Kp L ATLAS 
 3.00   7500 -3.0  2.0  0.3383  0.2401 Kp L ATLAS 
 3.50   7500 -3.0  2.0  0.2757  0.2861 Kp L ATLAS 
 4.00   7500 -3.0  2.0  0.2481  0.3098 Kp L ATLAS 
 4.50   7500 -3.0  2.0  0.2504  0.3069 Kp L ATLAS 
 5.00   7500 -3.0  2.0  0.2517  0.3046 Kp L ATLAS 
 1.50   7750 -3.0  2.0  0.3310  0.2584 Kp L ATLAS 
 2.00   7750 -3.0  2.0  0.3384  0.2472 Kp L ATLAS 
 2.50   7750 -3.0  2.0  0.3507  0.2315 Kp L ATLAS 
 3.00   7750 -3.0  2.0  0.3446  0.2347 Kp L ATLAS 
 3.50   7750 -3.0  2.0  0.3009  0.2651 Kp L ATLAS 
 4.00   7750 -3.0  2.0  0.2385  0.3101 Kp L ATLAS 
 4.50   7750 -3.0  2.0  0.2359  0.3143 Kp L ATLAS 
 5.00   7750 -3.0  2.0  0.2369  0.3120 Kp L ATLAS 
 1.50   8000 -3.0  2.0  0.3039  0.2732 Kp L ATLAS 
 2.00   8000 -3.0  2.0  0.3050  0.2684 Kp L ATLAS 
 2.50   8000 -3.0  2.0  0.3150  0.2559 Kp L ATLAS 
 3.00   8000 -3.0  2.0  0.3288  0.2403 Kp L ATLAS 
 3.50   8000 -3.0  2.0  0.3156  0.2514 Kp L ATLAS 
 4.00   8000 -3.0  2.0  0.2641  0.2888 Kp L ATLAS 
 4.50   8000 -3.0  2.0  0.2145  0.3233 Kp L ATLAS 
 5.00   8000 -3.0  2.0  0.2208  0.3204 Kp L ATLAS 
 1.50   8250 -3.0  2.0  0.2842  0.2809 Kp L ATLAS 
